invoiceId,issuerId,receiverId,amount,issueDate,paymentDate
0,91,17,88294,2022-01-02,2022-02-03
1,2,142,46659,2022-01-02,2022-03-29
2,14,17,32037,2022-01-02,2022-01-02
3,142,17,224403,2022-01-02,2022-03-12
4,49,8,1619,2022-01-02,2022-03-22
5,78,17,233254,2022-01-02,2022-02-25
6,91,17,42896,2022-01-02,2022-03-15
7,32,83,693,2022-01-02,2022-02-06
8,7,142,11398,2022-01-02,2022-01-02
9,7,123,1296,2022-01-02,2022-02-05
10,14,2,12007,2022-01-02,2022-02-05
11,12,127,3237,2022-01-02,2022-01-02
12,17,142,88573,2022-01-02,2022-02-07
13,17,14,20817,2022-01-02,2022-03-11
14,78,2,70702,2022-01-02,2022-03-05
15,91,2,29788,2022-01-02,2022-03-13
16,17,142,76361,2022-01-02,2022-03-09
17,78,0,5703,2022-01-02,2022-02-16
18,7,91,9353,2022-01-02,2022-03-25
19,17,29,3895,2022-01-02,2022-01-02
20,17,142,90351,2022-01-02,2022-01-02
21,7,142,12296,2022-01-02,2022-03-22
22,142,7,53734,2022-01-02,2022-01-02
23,78,17,112769,2022-01-02,2022-02-21
24,17,78,101949,2022-01-02,2022-01-02
25,17,127,5739,2022-01-02,2022-02-08
26,2,142,109370,2022-01-02,2022-01-02
27,142,17,182480,2022-01-02,2022-03-02
28,17,142,198067,2022-01-02,2022-03-02
29,8,91,33220,2022-01-02,2022-03-26
30,17,142,89725,2022-01-02,2022-01-02
31,78,2,250352,2022-01-02,2022-03-01
32,17,70,5928,2022-01-02,2022-01-02
33,2,142,39800,2022-01-02,2022-03-08
34,17,78,130928,2022-01-02,2022-02-21
35,93,17,7382,2022-01-02,2022-03-09
36,91,8,8643,2022-01-02,2022-02-11
37,78,17,169056,2022-01-02,2022-02-17
38,0,78,6878,2022-01-02,2022-01-02
39,17,142,179681,2022-01-02,2022-03-28
40,17,142,77318,2022-01-02,2022-03-29
41,142,17,226988,2022-01-02,2022-03-15
42,7,142,16135,2022-01-02,2022-02-26
43,2,70,3131,2022-01-02,2022-01-02
44,142,2,33581,2022-01-02,2022-01-02
45,32,91,3160,2022-01-02,2022-01-02
46,17,14,64396,2022-01-02,2022-03-05
47,17,120,3942,2022-01-02,2022-03-01
48,142,2,42255,2022-01-02,2022-01-02
49,14,7,3199,2022-01-02,2022-02-28
50,78,17,290811,2022-01-02,2022-03-28
51,17,91,54451,2022-01-02,2022-03-04
52,17,91,60755,2022-01-02,2022-02-23
53,91,2,51550,2022-01-02,2022-02-25
54,2,142,35716,2022-01-02,2022-02-23
55,0,142,4484,2022-01-02,2022-03-22
56,17,91,64823,2022-01-02,2022-03-20
57,2,142,46701,2022-01-02,2022-01-02
58,14,2,24254,2022-01-02,2022-02-15
59,78,12,13571,2022-01-02,2022-03-20
60,28,17,2019,2022-01-02,2022-03-08
61,142,2,39860,2022-01-02,2022-01-02
62,17,127,16430,2022-01-02,2022-03-12
63,17,70,3955,2022-01-02,2022-04-01
64,142,2,65687,2022-01-02,2022-03-16
65,17,142,92790,2022-01-02,2022-03-17
66,17,142,82180,2022-01-02,2022-03-06
67,2,14,8927,2022-01-02,2022-03-22
68,14,17,42476,2022-01-02,2022-03-30
69,17,0,2446,2022-01-02,2022-02-08
70,2,142,72750,2022-01-02,2022-03-21
71,78,17,85434,2022-01-02,2022-02-06
72,2,142,82288,2022-01-02,2022-03-11
73,91,17,47077,2022-01-02,2022-02-27
74,17,78,130072,2022-01-02,2022-01-02
75,17,127,4916,2022-01-02,2022-02-11
76,17,127,5996,2022-01-02,2022-03-08
77,0,14,1464,2022-01-02,2022-01-02
78,91,17,45171,2022-01-02,2022-03-23
79,25,17,1635,2022-01-02,2022-03-30
80,17,14,20451,2022-01-02,2022-01-02
81,65,17,8924,2022-01-02,2022-01-02
82,8,142,19763,2022-01-02,2022-03-07
83,8,142,26095,2022-01-02,2022-03-13
84,17,96,1278,2022-01-02,2022-01-02
85,8,78,16454,2022-01-02,2022-01-02
86,2,142,39648,2022-01-02,2022-01-02
87,14,17,91275,2022-01-02,2022-02-22
88,17,142,288038,2022-01-02,2022-03-19
89,17,91,411303,2022-01-02,2022-03-06
90,8,78,25859,2022-01-02,2022-01-02
91,78,40,2672,2022-01-02,2022-02-08
92,17,142,89840,2022-01-02,2022-01-02
93,8,142,18834,2022-01-02,2022-01-02
94,17,142,129465,2022-01-02,2022-02-17
95,91,8,15707,2022-01-02,2022-03-12
96,1,142,6165,2022-01-02,2022-03-22
97,78,17,311442,2022-01-02,2022-03-18
98,12,142,6986,2022-01-02,2022-02-12
99,142,2,59387,2022-01-02,2022-02-08
100,17,91,96077,2022-01-02,2022-03-11
101,30,8,1056,2022-01-02,2022-03-08
102,17,142,183730,2022-01-02,2022-01-02
103,17,142,242205,2022-01-02,2022-01-02
104,17,14,17892,2022-01-02,2022-03-12
105,142,2,47688,2022-01-02,2022-02-20
106,78,4,1726,2022-01-02,2022-02-27
107,14,2,10689,2022-01-02,2022-03-09
108,1,127,1097,2022-01-02,2022-01-02
109,17,91,453551,2022-01-02,2022-03-08
110,17,142,81940,2022-01-02,2022-03-31
111,2,142,52941,2022-01-02,2022-02-01
112,17,142,165478,2022-01-02,2022-01-02
113,123,17,10739,2022-01-02,2022-02-15
114,123,17,9261,2022-01-02,2022-01-02
115,142,17,102364,2022-01-02,2022-02-01
116,2,29,2313,2022-01-02,2022-03-23
117,17,78,206458,2022-01-02,2022-03-21
118,32,142,5765,2022-01-02,2022-02-05
119,2,78,270253,2022-01-02,2022-01-02
120,17,142,225118,2022-01-02,2022-01-02
121,17,142,152211,2022-01-02,2022-03-23
122,17,142,77227,2022-01-02,2022-03-15
123,17,91,156132,2022-01-02,2022-01-02
124,78,4,1478,2022-01-02,2022-02-15
125,78,17,122126,2022-01-02,2022-02-19
126,8,142,32962,2022-01-02,2022-02-26
127,17,127,5530,2022-01-02,2022-02-10
128,2,29,1089,2022-01-02,2022-02-22
129,17,14,19730,2022-01-02,2022-01-02
130,91,0,2339,2022-01-02,2022-01-02
131,17,25,12415,2022-01-02,2022-02-16
132,17,14,20830,2022-01-02,2022-03-08
133,44,78,2546,2022-01-02,2022-03-10
134,78,17,167531,2022-01-02,2022-02-25
135,1,142,6183,2022-01-02,2022-01-02
136,91,2,26886,2022-01-02,2022-02-24
137,17,127,6351,2022-01-02,2022-02-26
138,8,142,10971,2022-01-02,2022-02-12
139,142,2,33394,2022-01-02,2022-01-02
140,142,17,79341,2022-01-02,2022-03-26
141,35,91,786,2022-01-02,2022-01-02
142,12,142,17116,2022-01-02,2022-01-02
143,78,40,1812,2022-01-02,2022-03-28
144,2,127,3139,2022-01-02,2022-03-29
145,93,2,2786,2022-01-02,2022-03-27
146,32,78,6233,2022-01-02,2022-01-02
147,17,91,48234,2022-01-02,2022-03-26
148,17,127,12189,2022-01-02,2022-01-02
149,0,14,1641,2022-01-02,2022-01-02
150,78,0,7779,2022-01-02,2022-02-12
151,17,91,42270,2022-01-02,2022-02-13
152,8,14,6584,2022-01-02,2022-01-02
153,17,127,6965,2022-01-02,2022-02-17
154,78,17,136402,2022-01-02,2022-01-02
155,142,17,82123,2022-01-02,2022-03-14
156,78,8,38939,2022-01-02,2022-02-20
157,78,7,24306,2022-01-02,2022-02-26
158,7,142,30580,2022-01-02,2022-02-06
159,17,142,82580,2022-01-02,2022-02-13
160,78,17,115789,2022-01-02,2022-01-02
161,17,25,2235,2022-01-02,2022-02-04
162,91,17,137797,2022-01-02,2022-01-02
163,7,142,13181,2022-01-02,2022-02-18
164,49,8,1166,2022-01-02,2022-03-28
165,78,17,128533,2022-01-02,2022-03-26
166,142,17,144028,2022-01-02,2022-02-17
167,142,12,7477,2022-01-02,2022-03-19
168,32,142,8662,2022-01-02,2022-01-02
169,142,2,108788,2022-01-02,2022-01-02
170,2,142,38916,2022-01-02,2022-01-02
171,17,78,130253,2022-01-02,2022-02-22
172,2,142,55725,2022-01-02,2022-03-06
173,91,0,2866,2022-01-02,2022-03-28
174,49,17,4433,2022-01-02,2022-02-13
175,17,78,231105,2022-01-02,2022-02-09
176,2,127,2876,2022-01-02,2022-02-28
177,142,2,340862,2022-01-02,2022-03-02
178,17,142,99499,2022-01-02,2022-03-30
179,2,142,72180,2022-01-02,2022-03-27
180,142,17,88801,2022-01-02,2022-03-03
181,2,127,2458,2022-01-02,2022-03-14
182,17,78,104469,2022-01-02,2022-02-27
183,17,91,71908,2022-01-02,2022-01-02
184,78,1,7398,2022-01-02,2022-02-13
185,78,2,56107,2022-01-02,2022-02-16
186,78,2,68772,2022-01-02,2022-02-25
187,17,127,7067,2022-01-02,2022-04-01
188,143,17,1536,2022-01-02,2022-01-02
189,8,91,8155,2022-01-02,2022-02-03
190,14,2,7684,2022-01-02,2022-02-24
191,142,32,7233,2022-01-02,2022-01-02
192,17,10,2272,2022-01-02,2022-01-02
193,7,91,7978,2022-01-02,2022-03-23
194,17,78,218252,2022-01-02,2022-01-02
195,91,2,22968,2022-01-02,2022-01-02
196,17,142,113793,2022-01-02,2022-02-08
197,78,1,10208,2022-01-02,2022-03-24
198,78,2,48002,2022-01-02,2022-02-05
199,78,12,6983,2022-01-02,2022-03-16
200,17,91,175444,2022-01-02,2022-03-17
201,17,93,4724,2022-01-02,2022-01-02
202,78,17,161121,2022-01-02,2022-02-23
203,2,78,157756,2022-01-02,2022-01-02
204,17,142,70513,2022-01-02,2022-03-17
205,2,142,104590,2022-01-02,2022-01-02
206,17,142,203302,2022-01-02,2022-01-02
207,17,142,89862,2022-01-02,2022-01-02
208,17,25,2188,2022-01-02,2022-01-02
209,17,142,127138,2022-01-02,2022-03-05
210,32,142,5454,2022-01-02,2022-02-04
211,17,127,6877,2022-01-02,2022-02-10
212,142,17,96922,2022-01-02,2022-01-02
213,78,7,23948,2022-01-02,2022-02-11
214,2,142,32695,2022-01-02,2022-01-02
215,17,142,171211,2022-01-02,2022-02-28
216,91,2,137723,2022-01-02,2022-02-23
217,17,142,271300,2022-01-02,2022-02-13
218,142,17,124450,2022-01-02,2022-02-09
219,17,142,97315,2022-01-02,2022-02-26
220,14,8,3089,2022-01-02,2022-02-23
221,17,142,116007,2022-01-02,2022-03-24
222,78,17,131375,2022-01-02,2022-02-11
223,117,17,2334,2022-01-02,2022-03-22
224,4,142,965,2022-01-02,2022-02-23
225,102,17,1036,2022-01-02,2022-04-01
226,17,127,5806,2022-01-02,2022-02-19
227,0,91,4551,2022-01-02,2022-02-26
228,17,127,14094,2022-01-02,2022-01-02
229,91,17,41128,2022-01-02,2022-02-21
230,78,2,56868,2022-01-02,2022-01-02
231,17,142,89501,2022-01-02,2022-01-02
232,91,17,52452,2022-01-02,2022-03-04
233,17,142,84787,2022-01-02,2022-01-02
234,91,8,8592,2022-01-02,2022-03-30
235,17,127,7606,2022-01-02,2022-03-14
236,2,142,43652,2022-01-02,2022-03-01
237,17,127,6706,2022-01-02,2022-02-23
238,78,32,6773,2022-01-02,2022-02-19
239,142,2,46173,2022-01-02,2022-03-12
240,17,78,168394,2022-01-02,2022-01-02
241,17,142,81298,2022-01-02,2022-02-24
242,17,142,132559,2022-01-02,2022-02-13
243,17,14,37729,2022-01-02,2022-01-02
244,142,17,103438,2022-01-02,2022-02-16
245,17,142,105475,2022-01-02,2022-01-02
246,2,142,75010,2022-01-02,2022-01-02
247,78,1,15995,2022-01-02,2022-03-26
248,78,17,210828,2022-01-02,2022-02-09
249,78,17,634621,2022-01-02,2022-03-18
250,17,10,945,2022-01-02,2022-01-02
251,142,17,90216,2022-01-02,2022-01-02
252,17,123,4971,2022-01-02,2022-02-24
253,17,142,129935,2022-01-02,2022-02-01
254,2,25,1526,2022-01-02,2022-01-02
255,12,142,8523,2022-01-02,2022-03-05
256,17,142,90595,2022-01-02,2022-02-05
257,2,142,46049,2022-01-02,2022-01-02
258,7,10,1265,2022-01-02,2022-01-02
259,7,142,19430,2022-01-02,2022-01-02
260,78,2,54519,2022-01-02,2022-02-16
261,17,142,95839,2022-01-02,2022-01-02
262,142,17,98970,2022-01-02,2022-02-21
263,17,142,60048,2022-01-02,2022-02-28
264,2,78,120337,2022-01-02,2022-03-10
265,49,2,2955,2022-01-02,2022-03-20
266,17,127,4963,2022-01-02,2022-02-17
267,32,142,5337,2022-01-02,2022-02-28
268,2,25,1239,2022-01-02,2022-02-18
269,91,2,23350,2022-01-02,2022-02-17
270,17,142,88005,2022-01-02,2022-01-02
271,78,2,102538,2022-01-02,2022-04-02
272,7,91,6635,2022-01-02,2022-01-02
273,17,142,95616,2022-01-02,2022-03-19
274,17,142,86209,2022-01-02,2022-03-04
275,91,17,59955,2022-01-02,2022-01-02
276,5,78,942,2022-01-03,2022-01-03
277,17,142,198895,2022-01-03,2022-03-03
278,142,17,185693,2022-01-03,2022-02-12
279,17,142,124721,2022-01-03,2022-02-20
280,17,142,160317,2022-01-03,2022-01-03
281,142,12,10597,2022-01-03,2022-03-06
282,91,2,42087,2022-01-03,2022-01-03
283,78,17,107235,2022-01-03,2022-01-03
284,17,91,78258,2022-01-03,2022-02-24
285,78,2,46633,2022-01-03,2022-02-08
286,17,78,268718,2022-01-03,2022-02-07
287,2,142,256340,2022-01-03,2022-03-05
288,2,142,41626,2022-01-03,2022-03-09
289,142,17,115289,2022-01-03,2022-03-05
290,2,142,44128,2022-01-03,2022-01-03
291,123,17,5901,2022-01-03,2022-02-11
292,142,2,91016,2022-01-03,2022-01-03
293,2,142,41038,2022-01-03,2022-03-19
294,142,24,4077,2022-01-03,2022-02-03
295,65,17,5773,2022-01-03,2022-02-24
296,0,142,28901,2022-01-03,2022-01-03
297,8,142,14588,2022-01-03,2022-02-20
298,17,142,138913,2022-01-03,2022-02-12
299,2,78,52506,2022-01-03,2022-01-03
300,8,127,3634,2022-01-03,2022-02-13
301,17,142,164988,2022-01-03,2022-02-24
302,127,7,1192,2022-01-03,2022-02-21
303,142,17,84624,2022-01-03,2022-03-13
304,50,17,1529,2022-01-03,2022-03-12
305,17,14,25924,2022-01-03,2022-01-03
306,8,110,1562,2022-01-03,2022-02-06
307,142,8,23122,2022-01-03,2022-04-02
308,17,142,356111,2022-01-03,2022-03-14
309,1,91,11986,2022-01-03,2022-01-03
310,78,2,70542,2022-01-03,2022-02-03
311,2,91,28907,2022-01-03,2022-02-07
312,17,142,84601,2022-01-03,2022-03-11
313,78,8,35567,2022-01-03,2022-01-03
314,32,142,7781,2022-01-03,2022-03-25
315,78,17,139557,2022-01-03,2022-03-14
316,2,142,37260,2022-01-03,2022-01-03
317,142,17,79043,2022-01-03,2022-03-18
318,17,142,174164,2022-01-03,2022-03-22
319,142,12,20790,2022-01-03,2022-03-26
320,78,12,8016,2022-01-03,2022-01-03
321,78,2,309823,2022-01-03,2022-03-13
322,142,2,35614,2022-01-03,2022-01-03
323,17,29,2347,2022-01-03,2022-01-03
324,127,17,16644,2022-01-03,2022-03-12
325,2,78,107250,2022-01-03,2022-01-03
326,78,17,151349,2022-01-03,2022-01-03
327,1,142,10613,2022-01-03,2022-03-01
328,17,142,74204,2022-01-03,2022-01-03
329,17,142,159894,2022-01-03,2022-01-03
330,1,14,2501,2022-01-03,2022-03-24
331,12,142,10285,2022-01-03,2022-01-03
332,78,17,113632,2022-01-03,2022-03-14
333,17,142,210967,2022-01-03,2022-03-22
